speaker,channel,RX8_speaker,azi,ele, bit, rx8_bit
1,1,1,-98.44,0,-999,1
2,2,1,-94.16,0,-999,-999
3,3,1,-89.88,0,-999,-999
4,4,1,-85.6,0,-999,-999
5,5,1,-81.32,0,-999,-999
6,6,1,-77.04,0,-999,-999
7,7,1,-72.76,0,-999,-999
8,8,1,-68.48,0,-999,-999
9,9,1,-64.2,0,-999,-999
10,10,1,-59.92,0,-999,-999
11,11,1,-55.64,0,-999,-999
12,12,1,-51.36,0,-999,-999
13,13,1,-47.08,0,-999,-999
14,14,1,-42.8,0,-999,-999
15,15,1,-38.52,0,-999,-999
16,16,1,-34.24,0,-999,-999
17,17,1,-29.96,0,-999,-999
18,18,1,-25.68,0,-999,-999
19,19,1,-21.4,0,-999,-999
20,20,1,-17.12,0,-999,-999
21,21,1,-12.84,0,-999,-999
22,22,1,-8.56,0,-999,-999
23,23,1,-4.28,0,-999,-999
24,24,1,0,0,-999,1
25,1,2,4.28,0,-999,-999
26,2,2,8.56,0,-999,1
27,3,2,12.84,0,-999,-999
28,4,2,17.12,0,-999,-999
29,5,2,21.4,0,-999,1
30,6,2,25.68,0,-999,-999
31,7,2,29.96,0,-999,-999
32,8,2,34.24,0,-999,-999
33,9,2,38.52,0,-999,1
34,10,2,42.8,0,-999,-999
35,11,2,47.08,0,-999,-999
36,12,2,51.36,0,-999,1
37,13,2,55.64,0,-999,-999
38,14,2,59.92,0,-999,-999
39,15,2,64.2,0,-999,-999
40,16,2,68.48,0,-999,-999
41,17,2,72.76,0,-999,-999
42,18,2,77.04,0,-999,-999
43,19,2,81.32,0,-999,-999
44,20,2,85.6,0,-999,-999
45,21,2,89.88,0,-999,-999
46,22,2,94.16,0,-999,-999
47,23,2,98.44,0,-999,1
