index_number,channel,analog_proc,azi,ele,bit,digital_proc
0,1,1,-98.44,0,-999,-999
1,2,1,-94.16,0,-999,-999
2,3,1,-89.88,0,-999,-999
3,4,1,-85.6,0,-999,-999
4,5,1,-81.32,0,-999,-999
5,6,1,-77.04,0,-999,-999
6,7,1,-72.76,0,-999,-999
7,8,1,-68.48,0,-999,-999
8,9,1,-64.2,0,-999,-999
9,10,1,-59.92,0,-999,-999
10,11,1,-55.64,0,-999,-999
11,12,1,-51.36,0,-999,-999
12,13,1,-47.08,0,-999,-999
13,14,1,-42.8,0,-999,-999
14,15,1,-38.52,0,-999,-999
15,16,1,-34.24,0,-999,-999
16,17,1,-29.96,0,-999,-999
17,18,1,-25.68,0,-999,-999
18,19,1,-21.4,0,-999,-999
19,20,1,-17.12,0,-999,-999
20,21,1,-12.84,0,-999,-999
21,22,1,-8.56,0,-999,-999
22,23,1,-4.28,0,-999,-999
23,24,1,0,0,-999,-999
24,1,2,4.28,0,-999,-999
25,2,2,8.56,0,-999,-999
26,3,2,12.84,0,-999,-999
27,4,2,17.12,0,-999,-999
28,5,2,21.4,0,-999,-999
29,6,2,25.68,0,-999,-999
30,7,2,29.96,0,-999,-999
31,8,2,34.24,0,-999,-999
32,9,2,38.52,0,-999,-999
33,10,2,42.8,0,-999,-999
34,11,2,47.08,0,-999,-999
35,12,2,51.36,0,-999,-999
36,13,2,55.64,0,-999,-999
37,14,2,59.92,0,-999,-999
38,15,2,64.2,0,-999,-999
39,16,2,68.48,0,-999,-999
40,17,2,72.76,0,-999,-999
41,18,2,77.04,0,-999,-999
42,19,2,81.32,0,-999,-999
43,20,2,85.6,0,-999,-999
44,21,2,89.88,0,-999,-999
45,22,2,94.16,0,-999,-999
46,23,2,98.44,0,-999,-999
