index,channel,analog_proc,azi,ele,bit,digital_proc
0,22,RX82,-52.5,25,,
1,19,RX82,-52.5,12.5,,
2,20,RX82,-52.5,0,,
3,21,RX82,-52.5,-12.5,,
4,18,RX82,-52.5,-25,,
5,6,RX82,-35,37.5,,
6,3,RX82,-35,25,,
7,4,RX82,-35,12.5,,
8,1,RX82,-35,0,,
9,2,RX82,-35,-12.5,,
10,24,RX82,-35,-25,,
11,17,RX82,-35,-37.5,,
12,12,RX81,-17.5,37.5,,
13,11,RX81,-17.5,25,,
14,10,RX81,-17.5,12.5,,
15,9,RX81,-17.5,0,,
16,7,RX82,-17.5,-12.5,,
17,23,RX82,-17.5,-25,,
18,5,RX81,-17.5,-37.5,,
19,16,RX82,0,50,8,RX81
20,4,RX81,0,37.5,,
21,3,RX81,0,25,4,RX81
22,2,RX81,0,12.5,,
23,1,RX81,0,0,16,RX81
24,16,RX81,0,-12.5,,
25,15,RX81,0,-25,1,RX81
26,14,RX81,0,-37.5,,
27,13,RX81,0,-50,64,RX81
28,19,RX81,17.5,37.5,,
29,20,RX81,17.5,25,,
30,17,RX81,17.5,12.5,,
31,18,RX81,17.5,0,,
32,8,RX81,17.5,-12.5,,
33,7,RX81,17.5,-25,,
34,6,RX81,17.5,-37.5,,
35,13,RX82,35,37.5,,
36,10,RX82,35,25,,
37,15,RX82,35,12.5,,
38,23,RX81,35,0,,
39,24,RX81,35,-12.5,,
40,21,RX81,35,-25,,
41,22,RX81,35,-37.5,,
42,8,RX82,52.5,25,,
43,9,RX82,52.5,12.5,,
44,14,RX82,52.5,0,,
45,11,RX82,52.5,-12.5,,
46,12,RX82,52.5,-25,,
