speaker,channel,RX8,azi,ele
1,1,1,-98.44,0
2,2,1,-94.16,0
3,3,1,-89.88,0
4,4,1,-85.6,0
5,5,1,-81.32,0
6,6,1,-77.04,0
7,7,1,-72.76,0
8,8,1,-68.48,0
9,9,1,-64.2,0
10,10,1,-59.92,0
11,11,1,-55.64,0
12,12,1,-51.36,0
13,13,1,-47.08,0
14,14,1,-42.8,0
15,15,1,-38.52,0
16,16,1,-34.24,0
17,17,1,-29.96,0
18,18,1,-25.68,0
19,19,1,-21.4,0
20,20,1,-17.12,0
21,21,1,-12.84,0
22,22,1,-8.56,0
23,23,1,-4.28,0
24,24,1,0,0
25,1,2,4.28,0
26,2,2,8.56,0
27,3,2,12.84,0
28,4,2,17.12,0
29,5,2,21.4,0
30,6,2,25.68,0
31,7,2,29.96,0
32,8,2,34.24,0
33,9,2,38.52,0
34,10,2,42.8,0
35,11,2,47.08,0
36,12,2,51.36,0
37,13,2,55.64,0
38,14,2,59.92,0
39,15,2,64.2,0
40,16,2,68.48,0
41,17,2,72.76,0
42,18,2,77.04,0
43,19,2,81.32,0
44,20,2,85.6,0
45,21,2,89.88,0
46,22,2,94.16,0
47,23,2,98.44,0
