speaker,channel,RX8_speaker,azi,ele,bit,RX8_bit
-999,5,1,-999,-999,-999,-999
1,22,2,-52.5,25,-999,-999
2,19,2,-52.5,12.5,-999,-999
3,20,2,-52.5,0,-999,-999
4,21,2,-52.5,-12.5,-999,-999
5,18,2,-52.5,-25,-999,-999
6,6,2,-35,37.5,-999,-999
7,3,2,-35,25,-999,-999
8,4,2,-35,12.5,-999,-999
9,1,2,-35,0,-999,-999
10,2,2,-35,-12.5,-999,-999
11,24,2,-35,-25,-999,-999
12,17,2,-35,-37.5,-999,-999
13,12,1,-17.5,37.5,-999,-999
14,11,1,-17.5,25,-999,-999
15,10,1,-17.5,12.5,-999,-999
16,9,1,-17.5,0,-999,-999
17,7,2,-17.5,-12.5,-999,-999
18,8,2,-17.5,-25,-999,-999
19,5,2,-17.5,-37.5,-999,-999
20,23,2,0,50,1,1
21,4,1,0,37.5,-999,-999
22,3,1,0,25,8,1
23,2,1,0,12.5,-999,-999
24,1,1,0,0,64,1
25,16,1,0,-12.5,-999,-999
26,15,1,0,-25,4,1
27,14,1,0,-37.5,-999,-999
28,13,1,0,-50,16,1
29,19,1,17.5,37.5,-999,-999
30,20,1,17.5,25,-999,-999
31,17,1,17.5,12.5,-999,-999
32,18,1,17.5,0,-999,-999
33,8,1,17.5,-12.5,-999,-999
34,7,1,17.5,-25,-999,-999
35,6,1,17.5,-37.5,-999,-999
36,13,2,35,37.5,-999,-999
37,10,2,35,25,-999,-999
38,15,2,35,12.5,-999,-999
39,23,1,35,0,-999,-999
40,24,1,35,-12.5,-999,-999
41,21,1,35,-25,-999,-999
42,22,1,35,-37.5,-999,-999
43,16,2,52.5,25,-999,-999
44,9,2,52.5,12.5,-999,-999
45,14,2,52.5,0,-999,-999
46,11,2,52.5,-12.5,-999,-999
47,12,2,52.5,-25,-999,-999
