ongoing,index,proc,azimuth,elevation,arch,speaker_in_arch
24,1,1,0,0,1,0
23,2,1,0,12.5,1,1
22,3,1,0,25,1,2
21,4,1,0,37.5,1,3

-999,5,1,-999,-999,-999,-999
35,6,1,17.5,-37.5,2,-3
34,7,1,17.5,-25,2,-2
33,8,1,17.5,-12.5,2,-1

16,9,1,-17.5,0,3,0

15,10,1,-17.5,12.5,3,1

14,11,1,-17.5,25,3,2

13,12,1,-17.5,37.5,3,3

28,13,1,0,-50,1,-4

27,14,1,0,-37.5,1,-3

26,15,1,0,-25,1,-2

25,16,1,0,-12.5,1,-1

31,17,1,17.5,12.5,2,1

32,18,1,17.5,0,2,0

29,19,1,17.5,37.5,2,3

30,20,1,17.5,25,2,2

41,21,1,35,-25,4,-2

42,22,1,35,-37.5,4,-3

39,23,1,35,0,4,0

40,24,1,35,-12.5,4,-1

9,1,2,-35,0,5,0

10,2,2,-35,-12.5,5,-1

7,3,2,-35,25,5,2
8,4,2,-35,12.5,5,1

19,5,2,-17.5,-37.5,3,-3

6,6,2,-35,37.5,5,3

17,7,2,-17.5,-12.5,3,-1

18,8,2,-17.5,-25,3,-2

44,9,2,52.5,12.5,6,1

37,10,2,35,25,4,2

46,11,2,52.5,-12.5,6,-1

47,12,2,52.5,-25,6,-2

36,13,2,35,37.5,4,3

45,14,2,52.5,0,6,0

38,15,2,35,12.5,4,1

43,16,2,52.5,25,6,2

12,17,2,-35,-37.5,5,-3

5,18,2,-52.5,-25,7,-2

2,19,2,-52.5,12.5,7,1

3,20,2,-52.5,0,7,0

4,21,2,-52.5,-12.5,7,-1

1,22,2,-52.5,25,7,2

20,23,2,0,50,1,4

11,24,2,-35,-25,5,-2
